n	expression
1	(((0*1234567)-8)+9)
2	((((0123+4)-56)-78)+9)
3	((((01*2)*345)-678)-9)
4	((((012-34)-56)-7)+89)
5	((((012-34)+5)-67)+89)
6	((((0*123456)+7)+8)-9)
7	(((0*123456)-7)*(8-9))
8	((((0*123456)+7)-8)+9)
9	((0*12345678)+9)
10	((((0*123456)-7)+8)+9)
11	(((0123*4)-(56*7))-89)
12	(((0123+45)-67)-89)
13	((((0*1234)-56)+78)-9)
14	(((0123*4)-567)+89)
15	((((012+34)+56)-78)-9)
16	((0123-(4*(56-7)))+89)
17	(((0*1234567)+8)+9)
18	((((012-34)-56)+7)+89)
19	((((012+34)-5)+67)-89)
20	((((012+34)+56)+7)-89)
21	((((01*2)*345)-678)+9)
22	(((0*12345)-67)+89)
23	((((0*123)+45)+67)-89)
24	((((0*123456)+7)+8)+9)
25	(((((0*12345)+6)*7)-8)-9)
26	((((0*1234)-56)-7)+89)
27	((((0*1234)+5)-67)+89)
28	(01234-((56+78)*9))
29	((((012+34)+5)+67)-89)
30	(((((0*123)+4)-56)-7)+89)
31	((((0*1234)-56)+78)+9)
32	((((012-3)+45)+67)-89)
33	((((012+34)+56)-78)+9)
34	(((((0-123)-4)*5)+678)-9)
35	((012+(3*(45-67)))+89)
36	((01*234)+((56-78)*9))
37	(((0123+45)-(6*7))-89)
38	((((012+3)+45)+67)-89)
39	(((((0*123)-45)+67)+8)+9)
40	((((0*1234)-56)+7)+89)
41	(((((0*12345)+6)*7)+8)-9)
42	(((((0*123)+4)*5)-67)+89)
43	(((((0*123)-45)+6)-7)+89)
44	(((0-123)-456)+(7*89))
45	((((01-23)+45)-67)+89)
46	((((01*23)+45)+67)-89)
47	((((0*12345)-6)*7)+89)
48	(((((0*123)-45)+6)+78)+9)
49	(((((0-12)+34)+5)-67)+89)
50	((((0*12345)+67)-8)-9)
51	(((012-(3*45))*6)+789)
52	(((((0*1234)-5)*6)-7)+89)
53	(((((0-12)+34)-56)+78)+9)
54	((((0123-45)+6)-78)*9)
55	(0123+(4*((5+67)-89)))
56	(((0123-45)+67)-89)
57	(((((0*123)-45)+6)+7)+89)
58	(((((0*1234)-5)-6)+78)-9)
59	((((012*3)+45)+67)-89)
